"Gene_Name","logFC","PValue","FDR"
"COL9A3",5.420403939431,4.76230991495492e-27,5.80573201732154e-23
"PEX5",7.26099960271355,9.81377457122403e-26,5.9819862898896e-22
"CCL5",5.85468422693904,1.62998701359507e-25,6.62372389424584e-22
"PGM1",5.29232955080467,3.90691815303528e-25,1.04018892803247e-21
"KIAA1109",4.46314925460911,4.26621658613924e-25,1.04018892803247e-21
"SPATA33",3.60253611116302,6.60124161830879e-25,1.34126227614671e-21
"RPL26L1",4.0268422269978,7.91779000151225e-25,1.37893968440623e-21
"ARF5",-5.78433262022137,4.93946901821369e-24,7.52713335013039e-21
"G3BP2",4.43959048156372,7.34234351516602e-24,9.43560128068728e-21
"UVRAG",-3.93550159025032,8.54484845567612e-24,9.43560128068728e-21
"RIOK3",-2.48878364165455,8.94715913368487e-24,9.43560128068728e-21
"MIEN1",-2.85719086943645,9.28777092676953e-24,9.43560128068728e-21
"AZI2",-2.6707014695012,1.53091907336994e-23,1.43564880180407e-20
"DIP2B",13.9509191769978,1.76578920659048e-23,1.53762401553889e-20
"ECPAS",4.34971374898071,1.91125874649993e-23,1.55334369190538e-20
"TRIM16",2.73475899653543,2.52124453540295e-23,1.92103075819359e-20
"UBALD2",2.98189366302693,3.12874262313953e-23,2.03752554955855e-20
"BPTF",3.69119230443377,3.1330890650346e-23,2.03752554955855e-20
"RPTOR",-3.41772299523786,3.1755381381029e-23,2.03752554955855e-20
"UBE2R2",-2.58218057836572,4.03776561543608e-23,2.46122003088906e-20
"UNC119",10.4530716182617,4.71259102408728e-23,2.73577129403086e-20
"MTLN",2.1649467182872,1.32718164352793e-22,7.35439609829498e-20
"FEN1",-3.58859000709833,1.53735356684243e-22,8.14864231885917e-20
"ERAP2",-2.44796925971172,1.74083992915834e-22,8.8427414901539e-20
"VIRMA",3.57544420255735,2.11089332007679e-22,1.02935601860225e-19
"CUL5",2.60911469192418,2.67760069923385e-22,1.22689719927695e-19
"CCDC69",-2.64869757160787,2.81391936506702e-22,1.22689719927695e-19
"APOL4",-2.85241763686591,2.8179084225867e-22,1.22689719927695e-19
"ZDHHC11B",2.23937831766493,4.88130529794236e-22,2.05199975473156e-19
"MRPL13",3.13310636759562,5.57416142728825e-22,2.26515339866904e-19
"SF3B2",-2.14103805724932,7.27225380297833e-22,2.85987245522932e-19
"FAAH",6.52376276505326,8.47752287265384e-22,3.22967129189134e-19
"COX17",2.34747669653344,1.01762327385241e-21,3.75934707016202e-19
